result_id,run_id,instance_id,simulation_number,simulation_date,hours_operated,fuel_consumed,emissions_produced,energy_consumed,water_used,operational_efficiency
1,1,1,1,2024-01-01,,,2.285,97.714,56.813,1.053
2,1,1,1,2024-01-02,,,31.877,160.441,922.84,0.82
3,1,1,1,2024-01-03,,,2.286,119.736,872.087,0.861
4,1,1,1,2024-01-04,,,2.511,138.663,961.553,0.751
5,1,1,1,2024-01-05,,,3.154,158.715,689.921,0.947
6,1,1,1,2024-01-06,,,0.353,139.09,1007.61,0.745
7,1,1,1,2024-01-07,,,1.135,83.979,598.16,0.919
8,1,1,1,2024-01-08,,,2.631,128.678,663.525,0.844
9,1,1,1,2024-01-09,,,1.741,118.055,1163.231,0.765
10,1,1,1,2024-01-10,,,2.463,106.641,1139.156,0.844
11,1,1,1,2024-01-11,,,2.721,104.035,962.685,0.825
12,1,1,1,2024-01-12,,,2.939,98.281,938.351,0.977
13,1,1,1,2024-01-13,,,1.255,117.773,726.801,8.175
14,1,1,1,2024-01-14,,,2.315,134.782,813.105,0.8
15,1,1,1,2024-01-15,,,2.023,116.514,885.487,0.841
16,1,1,1,2024-01-16,,,2.785,91.62,1001.035,0.851
17,1,1,1,2024-01-17,,,2.227,114.167,1330.922,0.694
18,1,1,1,2024-01-18,,,1.713,118.374,954.683,0.887
19,1,1,1,2024-01-19,,,3.577,125.297,634.171,0.877
20,1,1,1,2024-01-20,,,1.937,120.679,568.158,0.769
21,1,1,1,2024-01-21,,,0.762,99.508,852.617,0.824
22,1,1,1,2024-01-22,,,4.029,98.716,779.698,0.811
23,1,1,1,2024-01-23,,,2.485,98.446,1215.12,0.813
24,1,1,1,2024-01-24,,,3.412,86.292,774.171,0.874
25,1,1,1,2024-01-25,,,1.227,132.554,964.948,0.815
26,1,1,1,2024-01-26,,,4.043,130.348,884.834,0.819
27,1,1,1,2024-01-27,,,2.307,111.559,585.248,0.851
28,1,1,1,2024-01-28,,,2.227,153.669,1176.936,0.798
29,1,1,1,2024-01-29,,,2.492,99.451,974.527,0.828
30,1,1,1,2024-01-30,,,1.986,112.152,1105.234,0.847
31,1,1,1,2024-01-31,,,2.632,129.481,837.03,0.876
32,1,1,1,2024-02-01,,,1.256,101.182,1001.452,0.092
33,1,1,1,2024-02-02,,,3.358,110.616,1165.647,0.821
34,1,1,1,2024-02-03,,,5.43,111.158,964.749,0.926
35,1,1,1,2024-02-04,,,3.26,124.084,1179.035,0.848
36,1,1,1,2024-02-05,,,2.961,102.921,1142.25,0.792
37,1,1,1,2024-02-06,,,3.338,134.769,1428.271,0.809
38,1,1,1,2024-02-07,,,2.676,128.413,1055.133,0.835
39,1,1,1,2024-02-08,,,3.273,104.318,1332.697,0.931
40,1,1,1,2024-02-09,,,4.916,120.797,1065.847,0.92
41,1,1,1,2024-02-10,,,1.595,129.507,957.145,0.853
42,1,1,1,2024-02-11,,,1.003,134.081,1233.141,0.859
43,1,1,1,2024-02-12,,,2.596,87.095,1244.158,0.815
44,1,1,1,2024-02-13,,,1.941,11.81,1303.832,0.901
45,1,1,1,2024-02-14,,,1.739,116.091,1120.169,0.939
46,1,1,1,2024-02-15,,,2.769,118.176,632.951,0.736
47,1,1,1,2024-02-16,,,3.466,137.228,857.432,0.858
48,1,1,1,2024-02-17,,,2.1,121.64,1123.637,0.977
49,1,1,1,2024-02-18,,,1.607,118.179,771.608,0.756
50,1,1,1,2024-02-19,,,0.0,132.464,1122.882,0.762
51,1,1,1,2024-02-20,,,1.071,136.477,740.341,0.838
52,1,1,1,2024-02-21,,,3.301,84.742,1325.901,0.805
53,1,1,1,2024-02-22,,,2.356,103.767,1210.115,0.848
54,1,1,1,2024-02-23,,,3.022,135.91,88.214,0.915
55,1,1,1,2024-02-24,,,1.953,79.3,7893.425,0.859
56,1,1,1,2024-02-25,,,3.638,135.482,1073.532,0.748
57,1,1,1,2024-02-26,,,2.522,132.666,1495.828,0.825
58,1,1,1,2024-02-27,,,3.178,107.06,783.58,0.931
59,1,1,1,2024-02-28,,,2.836,68.281,831.146,0.787
60,1,1,1,2024-02-29,,,0.0,129.098,1038.332,0.828
61,1,1,1,2024-03-01,,,2.968,113.054,974.009,0.93
62,1,1,1,2024-03-02,,,0.184,113.697,1179.123,0.801
63,1,1,1,2024-03-03,,,1.803,94.82,921.125,0.81
64,1,1,1,2024-03-04,,,3.07,125.237,763.449,0.903
65,1,1,1,2024-03-05,,,1.463,132.746,906.85,0.91
66,1,1,1,2024-03-06,,,1.104,135.911,855.937,0.961
67,1,1,1,2024-03-07,,,2.411,132.416,794.134,0.842
68,1,1,1,2024-03-08,,,3.722,85.152,1183.532,0.707
69,1,1,1,2024-03-09,,,1.953,121.212,908.345,0.912
70,1,1,1,2024-03-10,,,1.951,112.55,1026.843,0.818
71,1,1,1,2024-03-11,,,2.808,150.797,1157.617,0.885
72,1,1,1,2024-03-12,,,2.206,97.02,841.261,0.815
73,1,1,1,2024-03-13,,,1.922,121.776,1058.941,0.092
74,1,1,1,2024-03-14,,,0.231,146.223,945.631,0.896
75,1,1,1,2024-03-15,,,2.776,129.073,693.707,0.899
76,1,1,1,2024-03-16,,,0.885,149.468,661.06,0.766
77,1,1,1,2024-03-17,,,3.375,144.493,1165.099,0.832
78,1,1,1,2024-03-18,,,2.388,161.309,988.856,0.832
79,1,1,1,2024-03-19,,,2.505,116.423,1063.974,0.875
80,1,1,1,2024-03-20,,,2.041,90.468,878.798,0.899
81,1,1,1,2024-03-21,,,0.0,97.927,937.606,0.829
82,1,1,1,2024-03-22,,,0.962,129.581,1389.632,0.728
83,1,1,1,2024-03-23,,,2.758,140.847,1096.177,0.892
84,1,1,1,2024-03-24,,,2.246,131.916,818.606,0.996
85,1,1,1,2024-03-25,,,2.299,145.961,600.058,0.723
86,1,1,1,2024-03-26,,,1.78,131.56,886.285,0.841
87,1,1,1,2024-03-27,,,2.429,94.121,823.974,0.709
88,1,1,1,2024-03-28,,,1.727,138.069,860.254,0.759
89,1,1,1,2024-03-29,,,3.13,116.358,1004.457,0.821
90,1,1,1,2024-03-30,,,1.173,111.969,1137.502,0.887
91,1,1,1,2024-03-31,,,4.212,104.552,1327.838,0.807
92,1,1,1,2024-04-01,,,3.39,113.19,1025.593,0.88
93,1,1,1,2024-04-02,,,2.394,85.855,958.252,0.825
94,1,1,1,2024-04-03,,,1.269,121.352,1116.023,0.723
95,1,1,1,2024-04-04,,,2.882,129.337,922.908,0.757
96,1,1,1,2024-04-05,,,2.927,155.009,1201.681,0.898
97,1,1,1,2024-04-06,,,4.02,114.528,614.29,0.995
98,1,1,1,2024-04-07,,,2.143,114.115,947.946,0.735
99,1,1,1,2024-04-08,,,3.796,105.541,83.4,0.827
100,1,1,1,2024-04-09,,,2.479,136.514,1128.517,0.892
101,1,1,1,2024-04-10,,,3.176,133.949,946.385,0.835
