param_id,equipment_id,parameter_category,parameter_name,parameter_value,timestamp
1,1001,emissions,CO2,4960.868,2024-01-01
2,1001,emissions,CO2,5517.492,2024-01-02
3,1001,emissions,CO2,5567.55,2024-01-03
4,1001,emissions,CO2,5789.921,2024-01-04
5,1001,emissions,CO2,5800.898,2024-01-05
6,1001,emissions,CO2,5979.609,2024-01-06
7,1001,emissions,CO2,4883.288,2024-01-07
8,1001,emissions,CO2,5990.917,2024-01-08
9,1001,emissions,CO2,4433.318,2024-01-09
10,1001,emissions,CO2,3783.496,2024-01-10
11,1001,emissions,CO2,5837.546,2024-01-11
12,1001,emissions,CO2,5213.29,2024-01-12
13,1001,emissions,CO2,3361.358,2024-01-13
14,1001,emissions,CO2,4275.327,2024-01-14
15,1001,emissions,CO2,4374.329,2024-01-15
16,1001,emissions,CO2,5059.953,2024-01-16
17,1001,emissions,CO2,4546.512,2024-01-17
18,1001,emissions,CO2,4910.391,2024-01-18
19,1001,emissions,CO2,5847.043,2024-01-19
20,1001,emissions,CO2,6078.997,2024-01-20
21,1001,emissions,CO2,4816.172,2024-01-21
22,1001,emissions,CO2,6040.758,2024-01-22
23,1001,emissions,CO2,4318.922,2024-01-23
24,1001,emissions,CO2,4879.212,2024-01-24
25,1001,emissions,CO2,5965.957,2024-01-25
26,1001,emissions,CO2,4395.749,2024-01-26
27,1001,emissions,CO2,5544.337,2024-01-27
28,1001,emissions,CO2,3654.058,2024-01-28
29,1001,emissions,CO2,6381.323,2024-01-29
30,1001,emissions,CO2,6454.538,2024-01-30
31,1001,emissions,CO2,4399.117,2024-01-31
32,1001,emissions,CH4,15.178,2024-01-01
33,1001,emissions,CH4,30.98,2024-01-02
34,1001,emissions,CH4,0.773,2024-01-03
35,1001,emissions,CH4,7.332,2024-01-04
36,1001,emissions,CH4,3.046,2024-01-05
37,1001,emissions,CH4,32.01,2024-01-06
38,1001,emissions,CH4,0.661,2024-01-07
39,1001,emissions,CH4,37.934,2024-01-08
40,1001,emissions,CH4,3.186,2024-01-09
41,1001,emissions,CH4,8.989,2024-01-10
42,1001,emissions,CH4,6.621,2024-01-11
43,1001,emissions,CH4,3.569,2024-01-12
44,1001,emissions,CH4,24.212,2024-01-13
45,1001,emissions,CH4,35.355,2024-01-14
46,1001,emissions,CH4,30.248,2024-01-15
47,1001,emissions,CH4,4.813,2024-01-16
48,1001,emissions,CH4,1.614,2024-01-17
49,1001,emissions,CH4,40.175,2024-01-18
50,1001,emissions,CH4,8.466,2024-01-19
51,1001,emissions,CH4,5.938,2024-01-20
52,1001,emissions,CH4,57.103,2024-01-21
53,1001,emissions,CH4,10.574,2024-01-22
54,1001,emissions,CH4,14.112,2024-01-23
